t, DA
0.04292353371487585, 0
4.984616377641034, 0
5.329618314041052, 0.00035086308645618176
5.667197383708421, 0.0006162584833284154
6.186045010542622, 0.0004795662437297138
6.563858169456517, 0.0003480082620241959
7.221911441972546, 0.00022037474181174388
8.00948836008434, 0.00014105930953083506
9.058264124962347, 0.00007854824431985837
10.42611558156547, 0.00004612717615815875
12.114548818795988, 0.000025140159339038064
14.376694350015061, 0.00002941133077604013
15.905482163604285, 0.000017121569784597228
17.59649726752442, 0.000017121569784597228
18.969404879728042, 0.000017121569784597228
20.687099272774216, 0.000013256122750073769
